                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7003,                 3.0529,                 2.5885,                 1.4883,                0.11412,                0.19245,                0.07229,                0.03748,                0.11066,                0.18137,                0.06562,                0.03554,                 1.8626,                 3.5921,                 2.8073,                 1.7207,                0.07003,                0.00333,                0.00333
                      2,                 1.6776,                 2.9787,                 2.4512,                 1.4704,                0.10949,                0.10168,                0.05029,                0.02782,                0.11672,                0.09607,                0.04586,                0.02534,                 1.8088,                 4.0808,                 3.1802,                 1.7061,               0.039948,              0.0065809,              0.0065809
                      3,                   1.62,                 2.9196,                 2.3575,                 1.4144,                0.35359,                0.18934,                0.10501,                0.06837,                0.35121,                0.18583,                0.10119,                0.06464,                 1.4369,                  2.543,                 2.2279,                 1.3506,              0.0097826,              0.0097492,              0.0097492
                      4,                 1.5118,                  2.774,                 2.2172,                 1.3579,                0.35483,                 0.1937,                0.13025,                0.08716,                0.35653,                0.19545,                0.12822,                0.08664,                 1.3644,                 2.3813,                 2.1496,                 1.3004,              0.0096288,              0.0096288,              0.0096288
                      5,                   1.45,                 2.6812,                   2.16,                 1.3133,                0.57385,                0.21229,                0.14872,                0.10429,                0.57495,                0.21637,                0.14374,                 0.0993,                 1.2815,                 2.4282,                 1.9927,                 1.2472,              0.0096288,              0.0096288,              0.0096288
                      6,                 1.4135,                 2.6438,                 2.1155,                 1.3025,                0.14204,                0.23239,                0.13719,                0.09384,                0.13948,                0.22607,                0.13022,                0.09098,                 1.2436,                 2.2825,                 2.0003,                  1.234,               0.009505,               0.009505,               0.009505
                      7,                 1.3857,                 2.6503,                 2.0926,                 1.2821,                0.56014,                0.20762,                0.13332,                0.09138,                0.55977,                0.19904,                0.12777,                0.08454,                 1.2641,                 2.4153,                  1.977,                 1.2509,              0.0093813,              0.0093813,              0.0093813
                      8,                 1.3649,                 2.5718,                 2.0265,                  1.268,                0.20746,                0.25861,                0.15374,                0.11065,                0.37851,                0.22506,                0.14733,                 0.1052,                 1.1913,                 2.2502,                 1.9104,                 1.1971,              0.0092575,              0.0092575,              0.0092575
                      9,                 1.3402,                  2.555,                 1.9872,                 1.2601,                0.55937,                0.17712,                0.16069,                0.11598,                0.56252,                0.17959,                0.15776,                0.11001,                 1.1799,                 2.2327,                 1.8716,                 1.2168,              0.0091337,              0.0091337,              0.0091337
                     10,                 1.3379,                 2.5738,                 1.9905,                 1.2612,                0.37805,                0.25676,                0.15868,                0.11487,                 0.3818,                0.24988,                0.15454,                0.11004,                 1.1751,                 2.2531,                 1.9276,                 1.1978,                0.00901,                0.00901,                0.00901
                     11,                 1.3418,                 2.5453,                  1.984,                 1.2542,                0.59499,                0.20177,                0.15663,                0.11082,                0.59191,                0.19447,                0.15032,                0.10736,                  1.213,                  2.215,                 2.0346,                 1.2662,              0.0088863,              0.0088863,              0.0088863
                     12,                 1.3111,                 2.5145,                 1.9565,                 1.2477,                0.18431,                0.26909,                 0.1633,                0.11697,                0.18343,                0.26759,                0.15841,                0.11161,                 1.1693,                 2.1381,                 1.8219,                 1.1984,              0.0087625,              0.0087625,              0.0087625
                     13,                 1.2862,                 2.4935,                 1.9199,                 1.2353,                0.22954,                 0.2699,                0.18185,                0.13603,                0.22636,                0.26711,                0.17557,                0.12817,                 1.1165,                 2.1387,                 1.7566,                  1.182,              0.0086388,              0.0086388,              0.0086388
                     14,                 1.2964,                 2.4987,                 1.9165,                 1.2342,                 0.2325,                0.29221,                0.18989,                0.14355,                0.22934,                0.28744,                0.18617,                 0.1383,                 1.1229,                 2.1052,                 1.7535,                 1.1797,               0.008515,               0.008515,               0.008515
                     15,                 1.2813,                 2.4609,                 1.9034,                 1.2247,                0.44427,                0.22091,                0.16629,                0.12427,                0.43137,                0.21971,                0.16112,                0.11682,                 1.1584,                 2.2229,                 1.9109,                 1.2073,              0.0083913,              0.0083913,              0.0083913
                     16,                 1.2875,                 2.5037,                 1.9019,                 1.2335,                0.21037,                0.28406,                0.17739,                0.13303,                0.20863,                0.28195,                0.17454,                0.12638,                 1.0953,                 2.1063,                 1.7864,                 1.1656,              0.0082675,              0.0082675,              0.0082675
                     17,                 1.2493,                 2.4575,                 1.8661,                  1.221,                0.19613,                0.27759,                0.19112,                0.14474,                0.19915,                0.28326,                0.18878,                   0.14,                 1.0972,                 2.1506,                 1.6879,                 1.1599,              0.0081437,              0.0081437,              0.0081437
                     18,                 1.2655,                 2.4364,                 1.8565,                 1.2168,                 0.1898,                0.28972,                0.17321,                0.12948,                0.19976,                0.28618,                0.17026,                0.12548,                 1.1285,                 2.1094,                 1.7984,                 1.1898,                0.00802,                0.00802,                0.00802
                     19,                 1.2633,                 2.4267,                 1.8456,                 1.2174,                 0.2214,                0.30163,                0.20888,                0.15953,                0.22353,                0.29983,                0.20735,                0.15353,                  1.116,                 2.1173,                 1.7293,                 1.1749,              0.0078963,              0.0078963,              0.0078963
                     20,                 1.2608,                 2.4554,                 1.8436,                 1.2188,                0.20741,                0.32616,                0.19166,                 0.1408,                0.20292,                0.31355,                 0.1866,                0.13549,                 1.0787,                 2.0556,                 1.7322,                 1.1445,              0.0077725,              0.0077725,              0.0077725
                     21,                 1.2462,                  2.437,                  1.837,                 1.2098,                 0.2168,                0.30135,                0.19316,                0.14747,                0.21539,                0.29864,                0.18645,                0.13993,                 1.0671,                 2.0534,                  1.685,                 1.1343,              0.0076488,              0.0076488,              0.0076488
                     22,                 1.2369,                 2.4304,                 1.8043,                 1.2048,                0.21505,                0.30153,                0.19075,                0.14457,                0.21884,                0.30504,                0.18925,                0.13796,                 1.0406,                  2.015,                  1.697,                 1.1314,               0.007525,               0.007525,               0.007525
                     23,                 1.2395,                 2.4036,                 1.8245,                 1.2039,                0.29386,                 0.3097,                0.18366,                0.13756,                0.29213,                0.30694,                0.18198,                0.12934,                 1.0677,                 2.0921,                 1.6957,                 1.1465,              0.0074013,              0.0074013,              0.0074013
                     24,                 1.2248,                 2.4144,                 1.7931,                  1.193,                0.22608,                0.31656,                0.20705,                 0.1587,                0.22569,                0.31975,                0.20564,                0.15195,                 1.0367,                 2.0321,                 1.6416,                 1.1209,              0.0072775,              0.0072775,              0.0072775
                     25,                 1.2372,                 2.4095,                 1.7948,                 1.1957,                0.33847,                0.26839,                0.19582,                0.14812,                0.29465,                 0.2625,                0.18677,                0.13803,                 1.0877,                 2.0925,                 1.7068,                 1.1467,              0.0071538,              0.0071538,              0.0071538
                     26,                 1.2127,                 2.3786,                 1.7655,                 1.1897,                0.24009,                0.30213,                0.19947,                0.14827,                0.23345,                0.29725,                0.19254,                0.14103,                 1.0963,                 2.0759,                 1.6901,                 1.1545,                0.00703,                0.00703,                0.00703
                     27,                 1.2112,                 2.3576,                 1.7622,                 1.1891,                 0.2224,                0.32825,                0.20117,                0.15162,                0.22432,                0.31242,                0.19808,                0.14463,                 1.0769,                 2.0189,                 1.6648,                 1.1472,              0.0069063,              0.0069063,              0.0069063
                     28,                 1.2214,                 2.3595,                 1.7567,                 1.1911,                0.26495,                0.31623,                0.20467,                0.15601,                0.25332,                0.30809,                0.20003,                0.14795,                 1.0545,                 2.0142,                  1.702,                 1.1436,              0.0067825,              0.0067825,              0.0067825
                     29,                 1.2082,                 2.3732,                 1.7449,                 1.1905,                 0.2047,                0.33079,                0.20276,                0.15551,                 0.1966,                0.31891,                0.19748,                 0.1474,                 1.0407,                 2.0194,                 1.6625,                   1.12,              0.0066587,              0.0066587,              0.0066587
                     30,                 1.2053,                 2.3674,                 1.7357,                 1.1824,                 0.2301,                0.31714,                0.21177,                0.16218,                0.22375,                0.30689,                0.20522,                0.15565,                 1.0475,                 1.9898,                 1.6032,                 1.1326,               0.006535,               0.006535,               0.006535
                     31,                 1.1821,                 2.3343,                 1.7119,                 1.1696,                0.23758,                0.31761,                0.20495,                 0.1551,                0.23794,                0.32093,                0.20143,                0.14766,                 1.0195,                 2.0014,                 1.6436,                 1.1217,              0.0064112,              0.0064112,              0.0064112
                     32,                 1.1959,                 2.3464,                  1.727,                  1.179,                0.20865,                0.35096,                0.21086,                0.16287,                0.21044,                0.33689,                0.20572,                0.15427,                 1.0093,                 1.9796,                 1.6279,                 1.1095,              0.0062875,              0.0062875,              0.0062875
                     33,                 1.1832,                  2.306,                 1.7114,                 1.1755,                0.28781,                0.31053,                0.21783,                0.17111,                0.27487,                0.30335,                0.21334,                0.16154,                 1.0049,                 1.9639,                 1.6046,                 1.1065,              0.0061637,              0.0061637,              0.0061637
                     34,                  1.179,                 2.3438,                  1.696,                 1.1663,                0.24546,                0.30875,                0.22697,                0.17749,                0.24409,                0.29851,                0.22311,                0.16697,                0.99084,                 1.9759,                  1.565,                 1.0878,                0.00604,                0.00604,                0.00604
                     35,                 1.1689,                 2.3039,                 1.6905,                 1.1661,                0.24888,                0.32265,                0.21864,                0.17459,                 0.2501,                0.31336,                0.21353,                0.16338,                0.96959,                 1.9302,                 1.5895,                 1.0817,              0.0059163,              0.0059163,              0.0059163
                     36,                 1.1844,                 2.3001,                 1.6868,                 1.1715,                 0.2469,                0.33394,                0.22656,                 0.1776,                0.25115,                0.32437,                0.22038,                0.16565,                0.98144,                 1.9573,                 1.5579,                 1.0869,              0.0057925,              0.0057925,              0.0057925
                     37,                 1.1606,                 2.2923,                 1.6799,                 1.1631,                 0.2574,                0.35628,                0.22106,                0.17036,                0.26064,                0.33334,                0.21739,                0.16079,                0.98116,                 1.9693,                 1.5374,                 1.0952,              0.0056688,              0.0056688,              0.0056688
                     38,                 1.1625,                 2.2872,                 1.6757,                 1.1647,                0.26562,                0.32459,                0.23735,                0.18416,                0.28022,                0.32159,                0.23574,                0.17469,                0.98954,                 1.9274,                 1.5381,                 1.1014,               0.005545,               0.005545,               0.005545
                     39,                 1.1533,                 2.2921,                 1.6684,                 1.1572,                0.27199,                0.34021,                0.23716,                0.18835,                0.25688,                0.34179,                0.23059,                0.17366,                0.95615,                  1.919,                 1.5288,                 1.0902,              0.0054212,              0.0054212,              0.0054212
